secid,symbol,exchange,exchangecode,sourceexchange,securitytype
724544409,PCLNID-MAR18,EDM,1013440,EDMF05,600
724544411,PCLNID-JUN18,EDM,1013441,EDMF05,600
724544412,PCLNID-SEP18,EDM,1013442,EDMF05,600
724544413,PCLNID-DEC18,EDM,1013443,EDMF05,600
724544414,PPCCA1N-MAR18,EDM,1013444,EDMF02,605
724544416,PPCCA1N-JUN18,EDM,1013445,EDMF02,605
724544417,PPCCA1N-SEP18,EDM,1013446,EDMF02,605
724544418,PPCCA1N-DEC18,EDM,1013447,EDMF02,605
724544419,PGRN-MAR18,EDM,1013451,EDMF02,605
724544421,PGRN-JUN18,EDM,1013452,EDMF02,605
724544422,PGRN-SEP18,EDM,1013453,EDMF02,605
724544423,PGRN-DEC18,EDM,1013454,EDMF02,605
724544424,NGPLTN-MAR18,EDM,1013458,EDMF02,605
724544426,NGPLTN-JUN18,EDM,1013459,EDMF02,605
724544427,NGPLTN-SEP18,EDM,1013460,EDMF02,605
724544428,NGPLTN-DEC18,EDM,1013461,EDMF02,605
724544429,ETFPLTN-MAR18,EDM,1013465,EDMF02,605
724544431,ETFPLTN-JUN18,EDM,1013466,EDMF02,605
724544432,ETFPLTN-SEP18,EDM,1013467,EDMF02,605
724544433,ETFPLTN-DEC18,EDM,1013468,EDMF02,605
724544434,PMMID-MAR18,EDM,1013472,EDMF05,600
724544436,PMMID-JUN18,EDM,1013473,EDMF05,600
724544437,PMMID-SEP18,EDM,1013474,EDMF05,600
724544438,PMMID-DEC18,EDM,1013475,EDMF05,600
724544439,PSMID-MAR18,EDM,1013479,EDMF05,600
724544441,PSMID-JUN18,EDM,1013480,EDMF05,600
724544442,PSMID-SEP18,EDM,1013481,EDMF05,600
724544443,PSMID-DEC18,EDM,1013482,EDMF05,600
724544444,PNRAID-MAR18,EDM,1013486,EDMF05,600
724544446,PNRAID-JUN18,EDM,1013487,EDMF05,600
724544447,PNRAID-SEP18,EDM,1013488,EDMF05,600
724544448,PNRAID-DEC18,EDM,1013489,EDMF05,600
724544449,PRUID-MAR18,EDM,1013493,EDMF05,600
724544451,PRUID-JUN18,EDM,1013494,EDMF05,600
724544452,PRUID-SEP18,EDM,1013495,EDMF05,600
724544453,PRUID-DEC18,EDM,1013496,EDMF05,600
724544454,PHMCA1N-MAR18,EDM,1013500,EDMF02,605
724544456,PHMCA1N-JUN18,EDM,1013501,EDMF02,605
724544457,PHMCA1N-SEP18,EDM,1013502,EDMF02,605
724544458,PHMCA1N-DEC18,EDM,1013503,EDMF02,605
724544459,QCOMID-MAR18,EDM,1013507,EDMF05,600
724544461,QCOMID-JUN18,EDM,1013508,EDMF05,600
724544462,QCOMID-SEP18,EDM,1013509,EDMF05,600
724544463,QCOMID-DEC18,EDM,1013510,EDMF05,600
724544464,QANID-MAR18,EDM,1013514,EDMF05,600
724544466,QANID-JUN18,EDM,1013515,EDMF05,600
724544467,QANID-SEP18,EDM,1013516,EDMF05,600
724544468,QANID-DEC18,EDM,1013517,EDMF05,600
724544469,QQQID-MAR18,EDM,1013521,EDMF05,600
724544471,QQQID-JUN18,EDM,1013522,EDMF05,600
724544472,QQQID-SEP18,EDM,1013523,EDMF05,600
