secid,symbol,exchange,exchangecode,sourceexchange,securitytype
2133506262,IBLUSD,JSE,64826,ZA06,400
2133506735,SPIB17,JSE,71472,ZA04,107
2133505644,ZA104,JSE,57988,ZA04,107
2133506590,TOPSKY,JSE,71846,ZA04,108
2133502188,GAM,JSE,33808,ZA03,100
2133500151,FSEO1,JSE,15133,ZA03,100
2133506918,SRR,JSE,71713,ZA03,100
2133003780,FFA,JSE,13652,ZA01,100
2133506155,HMN,JSE,62540,ZA02,100
2133505064,TDHP,JSE,50036,ZA02,200
2133503973,NGPLD,JSE,38894,ZA06,112
2133506338,AGLSTM,JSE,67556,ZA04,107
2133003673,LBH,JSE,224,ZA02,100
2133505247,NVE,JSE,49190,ZA03,100
2133506666,MTNIHN,JSE,72262,ZA04,107
927666897,AOX,NAM,2517,ZA12,100
2133004657,SBAPL1,JSE,14383,ZA06,400
2133504812,LPEGB6,JSE,48739,ZA04,186
2133506231,SBSW24,JSE,14408,ZA04,107
2133505140,LPEGB8,JSE,51558,ZA04,186
2133505613,ECSP11,JSE,58233,ZA02,200
2133506559,AEY,JSE,68191,ZA03,100
2133503576,GLN,JSE,39318,ZA02,100
2133505941,LPLLB1,JSE,61386,ZA04,186
2133004222,CKS,JSE,791,ZA03,100
2133504377,ZA075,JSE,44795,ZA04,107
2133506742,MRPSBR,JSE,71644,ZA04,108
2133004550,PIK,JSE,762,ZA02,100
2133500776,SWXTRI,JSE,33242,ZA06,400
2133506597,WHLSBH,JSE,70535,ZA04,107
2133506925,NPNSTM,JSE,72580,ZA04,107
2133004733,EXX,JSE,3841,ZA02,100
2133505216,ALH,JSE,11982,ZA03,100
2133504453,LPEGB4,JSE,46129,ZA04,107
2133003680,CRD,JSE,10954,ZA03,100
2133004626,CZA,JSE,9199,ZA03,100
2133505727,NBELN5,JSE,59775,ZA04,107
2133003535,SNV,JSE,4139,ZA03,100
2133004008,ACE,JSE,9121,ZA03,100
2133505109,ECSP4,JSE,51062,ZA02,200
2133506528,HARSBA,JSE,69042,ZA04,107
927666904,OLM,NAM,2737,ZA12,100
2133504491,AEGCB,JSE,46383,ZA02,100
2133504819,SRE,JSE,48586,ZA02,100
2133506238,LPWO05,JSE,36984,ZA04,107
2133506566,MRPSBD,JSE,70094,ZA04,107
2133500127,DBAFRI,JSE,15163,ZA06,400
2133506894,DBNPAG,JSE,71737,ZA04,186
2133004702,ACL,JSE,1261,ZA02,100
2133506749,NPNSBQ,JSE,71649,ZA04,108
2133003611,WSL,JSE,7298,ZA03,100
2133506604,NRP,JSE,69094,ZA01,100
2133003466,HWA,JSE,8,ZA03,100
2133506932,BATSBP,JSE,72641,ZA04,108
2133506314,SBKIHK,JSE,66456,ZA04,107
2133003649,TDH,JSE,3205,ZA03,100
2133506497,ECSP21,JSE,68188,ZA02,200
2133502568,ZA061,JSE,35356,ZA04,107
2133504460,TEX,JSE,15101,ZA02,100
2133505406,ECSP9,JSE,56054,ZA02,200
2133506352,PFF,JSE,66877,ZA03,100
2133004160,TLM,JSE,9610,ZA03,100
2133504788,ZA087,JSE,48589,ZA04,107
2133505261,GIVRES,JSE,13141,ZA06,112
2133004015,BSS,JSE,10788,ZA03,100
2133506535,FSRSBN,JSE,69035,ZA04,107
2133003580,ACT,JSE,8240,ZA03,100
2133004526,NHM,JSE,105,ZA02,100
2133506573,SOLSBG,JSE,70104,ZA04,107
2133506901,SBKSBE,JSE,71921,ZA04,107
2133004709,AIP,JSE,12174,ZA02,100
2133506283,GLI,JSE,50652,ZA03,100
2133506611,EXXSBA,JSE,70797,ZA04,107
2133004747,STXFIN,JSE,4032,ZA06,112
2133003656,BLU,JSE,10922,ZA02,100
2133004129,PHM,JSE,4309,ZA03,100
2133505703,ZA101,JSE,56880,ZA04,186
927667025,KFS,NAM,44687,ZA12,100
2133505085,ZA090,JSE,50522,ZA04,186
927666880,VKN,NAM,10299,ZA12,100
2133003694,ADH,JSE,2218,ZA02,100
2133004167,HPB,JSE,8001,ZA03,100
2133004640,RLO,JSE,525,ZA02,100
2133004022,HDC,JSE,562,ZA02,100
